
=== Evaluation Summary ===
Total Images: 22299
Correct Predictions: 21080
Overall Accuracy: 94.53%
Throughput: 51.30 images/sec

=== Per-Class Accuracy & Distribution ===
Class                            Accuracy    Correct      Total   % of Total
--------------------------------------------------------------------------------
bear                              100.00%          2          2        0.01%
bird                               90.53%        860        950        4.26%
boar                              100.00%          7          7        0.03%
capreolinae                        96.83%       1958       2022        9.07%
deer                               94.66%       1329       1404        6.30%
farm animal                        98.67%        595        603        2.70%
feline                             92.49%        480        519        2.33%
fox                                93.72%       2893       3087       13.84%
lepus                              94.19%       1606       1705        7.65%
mustelid                           94.95%       2878       3031       13.59%
rodent                             90.25%        657        728        3.26%
roe deer                           94.81%       7778       8204       36.79%
wolf                              100.00%         37         37        0.17%
