
=== Evaluation Summary ===
Total Images: 24867
Correct Predictions: 22640
Overall Accuracy: 91.04%
Throughput: 59.16 images/sec

=== Per-Class Accuracy & Distribution ===
Class                            Accuracy    Correct      Total   % of Total
--------------------------------------------------------------------------------
annet mardyr                      100.00%          4          4        0.02%
bja rn                            100.00%         17         17        0.07%
blameis                            75.00%          3          4        0.02%
bokfink                           100.00%          2          2        0.01%
duetrost                          100.00%          2          2        0.01%
ekorn                              86.54%        746        862        3.47%
elg                                95.76%       2080       2172        8.73%
fugl                               74.73%        760       1017        4.09%
gaupe                              95.65%        550        575        2.31%
gratrost                           85.71%          6          7        0.03%
grevling                           94.45%       2810       2975       11.96%
hare                               90.83%       1684       1854        7.46%
hjort                              95.30%       1479       1552        6.24%
jerpe                              77.78%          7          9        0.04%
jerv                               95.00%         38         40        0.16%
katt                               95.90%        234        244        0.98%
kja ttmeis                         79.49%         31         39        0.16%
maltrost                           83.33%         15         18        0.07%
mar                                88.66%        305        344        1.38%
meis sp.                           55.56%          5          9        0.04%
na tteskrike                       75.00%          6          8        0.03%
orrfugl                           100.00%          6          6        0.02%
ra dvingetrost                     71.43%          5          7        0.03%
radyr                              90.20%       7535       8354       33.59%
ravn                               87.50%          7          8        0.03%
rev                                88.17%       2854       3237       13.02%
ringdue                            85.71%         36         42        0.17%
rugde                              75.61%         31         41        0.16%
sa rhare                           77.78%          7          9        0.04%
sau                                98.79%        733        742        2.98%
skjare                            100.00%         25         25        0.10%
skogsha ns                         85.48%         53         62        0.25%
smagnager                          98.15%        106        108        0.43%
storfe                             98.55%         68         69        0.28%
storfugl                           95.52%         64         67        0.27%
svartspett                        100.00%          3          3        0.01%
svarttrost                         92.11%         70         76        0.31%
trane                             100.00%          4          4        0.02%
trost sp.                          94.44%         17         18        0.07%
ulv                                98.40%        184        187        0.75%
villsvin                          100.00%         48         48        0.19%
