
=== Evaluation Summary ===
Total Images: 24867
Correct Predictions: 22724
Overall Accuracy: 91.38%
Throughput: 59.56 images/sec

=== Per-Class Accuracy & Distribution ===
Class                            Accuracy    Correct      Total   % of Total
--------------------------------------------------------------------------------
annet mardyr                      100.00%          4          4        0.02%
bja rn                            100.00%         17         17        0.07%
blameis                            75.00%          3          4        0.02%
bokfink                            50.00%          1          2        0.01%
duetrost                          100.00%          2          2        0.01%
ekorn                              87.35%        753        862        3.47%
elg                                95.90%       2083       2172        8.73%
fugl                               64.31%        654       1017        4.09%
gaupe                              95.30%        548        575        2.31%
gratrost                           85.71%          6          7        0.03%
grevling                           93.41%       2779       2975       11.96%
hare                               90.02%       1669       1854        7.46%
hjort                              95.68%       1485       1552        6.24%
jerpe                              77.78%          7          9        0.04%
jerv                               97.50%         39         40        0.16%
katt                               95.49%        233        244        0.98%
kja ttmeis                         94.87%         37         39        0.16%
maltrost                           94.44%         17         18        0.07%
mar                                88.95%        306        344        1.38%
meis sp.                           55.56%          5          9        0.04%
na tteskrike                       75.00%          6          8        0.03%
orrfugl                           100.00%          6          6        0.02%
ra dvingetrost                     57.14%          4          7        0.03%
radyr                              92.49%       7727       8354       33.59%
ravn                               87.50%          7          8        0.03%
rev                                88.60%       2868       3237       13.02%
ringdue                            90.48%         38         42        0.17%
rugde                              87.80%         36         41        0.16%
sa rhare                           77.78%          7          9        0.04%
sau                                98.92%        734        742        2.98%
skjare                             96.00%         24         25        0.10%
skogsha ns                         88.71%         55         62        0.25%
smagnager                          98.15%        106        108        0.43%
storfe                            100.00%         69         69        0.28%
storfugl                           95.52%         64         67        0.27%
svartspett                         66.67%          2          3        0.01%
svarttrost                         90.79%         69         76        0.31%
trane                             100.00%          4          4        0.02%
trost sp.                          88.89%         16         18        0.07%
ulv                                99.47%        186        187        0.75%
villsvin                          100.00%         48         48        0.19%
