
=== Evaluation Summary ===
Total Images: 22299
Correct Predictions: 20661
Overall Accuracy: 92.65%
Throughput: 59.30 images/sec

=== Per-Class Accuracy & Distribution ===
Class                            Accuracy    Correct      Total   % of Total
--------------------------------------------------------------------------------
bear                              100.00%          2          2        0.01%
bird                               84.32%        801        950        4.26%
boar                              100.00%          7          7        0.03%
capreolinae                        94.21%       1905       2022        9.07%
deer                               94.59%       1328       1404        6.30%
farm animal                        98.01%        591        603        2.70%
feline                             93.26%        484        519        2.33%
fox                                89.96%       2777       3087       13.84%
lepus                              92.32%       1574       1705        7.65%
mustelid                           94.26%       2857       3031       13.59%
rodent                             90.38%        658        728        3.26%
roe deer                           93.13%       7640       8204       36.79%
wolf                              100.00%         37         37        0.17%
