
=== Evaluation Summary ===
Total Images: 22299
Correct Predictions: 21643
Overall Accuracy: 97.06%
Throughput: 52.23 images/sec

=== Per-Class Accuracy & Distribution ===
Class                            Accuracy    Correct      Total   % of Total
--------------------------------------------------------------------------------
bear                              100.00%          2          2        0.01%
bird                               93.05%        884        950        4.26%
boar                              100.00%          7          7        0.03%
capreolinae                        97.48%       1971       2022        9.07%
deer                               96.15%       1350       1404        6.30%
farm animal                        98.84%        596        603        2.70%
feline                             93.45%        485        519        2.33%
fox                                96.08%       2966       3087       13.84%
lepus                              96.01%       1637       1705        7.65%
mustelid                           97.26%       2948       3031       13.59%
rodent                             87.36%        636        728        3.26%
roe deer                           99.05%       8126       8204       36.79%
wolf                               94.59%         35         37        0.17%
